Display all dishes,2023-06-05 00:36:11.624
Add a new dish,2023-06-05 00:37:16.374
Display all dishes,2023-06-05 00:37:18.936
Update a dish,2023-06-05 00:37:24.375
Display all dishes,2023-06-05 00:37:27.392
Delete a dish,2023-06-05 00:37:30.974
Display all dishes,2023-06-05 00:37:33.298
Delete a dish,2023-06-05 00:37:35.206
Add a new drink.,2023-06-05 00:40:49.393
Display all drinks.,2023-06-05 00:40:51.611
Update a drink.,2023-06-05 00:41:04.928
Display all drinks.,2023-06-05 00:41:17.354
Delete a drink.,2023-06-05 00:41:18.909
Add a new drink.,2023-06-05 00:41:26.368
Display all drinks.,2023-06-05 00:41:30.859
Add a new dish,2023-06-05 00:42:14.977
Add a new dish,2023-06-05 00:42:20.558
Display all dishes,2023-06-05 00:42:25.113
Delete a dish,2023-06-05 00:42:27.66
Add a new dish,2023-06-05 00:42:34.637
Display all dishes,2023-06-05 00:42:52.119
Display all dishes,2023-06-05 00:43:26.635
Delete a dish,2023-06-05 00:43:27.997
Display all dishes,2023-06-05 00:43:31.632
Delete a dish,2023-06-05 00:43:32.778
Add a new dish,2023-06-05 00:43:46.584
Add client,2023-06-05 01:22:55.399
Add client,2023-06-05 01:23:20.388
Add client,2023-06-05 01:42:02.444
Add client,2023-06-05 01:42:12.343
Display clients,2023-06-05 01:42:16.93
Display clients,2023-06-05 01:42:24.307
Display clients,2023-06-05 01:42:38.988
Update client,2023-06-05 01:42:48.548
Display clients,2023-06-05 01:42:51.507
Display clients,2023-06-05 01:49:10.755
Delete client,2023-06-05 01:49:13.509
Add client,2023-06-05 01:51:44.2
Display clients,2023-06-05 01:52:02.558
Display clients,2023-06-05 01:52:59.581
Display clients,2023-06-05 01:53:07.391
Update client,2023-06-05 01:53:13.381
Display clients,2023-06-05 01:53:45.218
Display clients,2023-06-05 01:53:49.544
Delete client,2023-06-05 01:53:51.039
Add client,2023-06-05 01:56:35.988
Display clients,2023-06-05 01:57:40.305
Display clients,2023-06-05 01:57:48.134
Update client,2023-06-05 01:57:55.675
Display clients,2023-06-05 01:58:09.829
Delete client,2023-06-05 01:58:11.103
Add client,2023-06-05 02:29:06.494
Display clients,2023-06-05 02:29:13.163
Update client,2023-06-05 02:29:17.982
Add client,2023-06-05 02:29:28.159
Display clients,2023-06-05 02:29:30.955
Display clients,2023-06-05 02:29:35.327
Delete client,2023-06-05 02:29:37.502
Display clients,2023-06-05 02:29:40.733
Delete client,2023-06-05 02:29:41.492
Add a new courier,2023-06-05 02:48:42.615
Display all couriers,2023-06-05 02:49:38.126
Display all couriers,2023-06-05 02:56:50.601
Add a new courier,2023-06-05 02:56:59.637
Display all couriers,2023-06-05 02:57:04.587
Update a courier,2023-06-05 02:57:15.336
Display all couriers,2023-06-05 02:57:20.116
Delete a courier,2023-06-05 02:57:26.529
Display all couriers,2023-06-05 02:57:45.185
Delete a courier,2023-06-05 02:57:46.644
Add a new courier,2023-06-05 02:57:52.282
Display all couriers,2023-06-05 02:58:06.826
Delete a courier,2023-06-05 02:58:08.889
Add a new courier,2023-06-05 02:59:27.578
Display all couriers,2023-06-05 02:59:33.882
Display all couriers,2023-06-05 02:59:40.227
Update a courier,2023-06-05 02:59:50.338
